enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
29725,72,0.7759999999999999,1,1,2,0,5,6,4,5,4,47,0.0
666,48,0.767,1,0,2,1,5,21,4,1,3,8,0.0
402,78,0.762,1,0,2,0,5,4,7,5,4,18,1.0
27107,5,0.92,1,0,2,0,5,17,4,5,0,46,1.0
23853,5,0.92,1,0,2,0,5,15,6,5,0,108,0.0
25619,86,0.913,1,0,2,0,5,21,2,5,2,23,0.0
6588,12,0.926,1,0,2,0,5,7,0,5,4,18,0.0
31972,45,0.843,1,0,2,1,5,2,1,5,0,68,0.0
19061,12,0.926,1,0,2,1,5,2,1,5,1,50,0.0
7041,72,0.7759999999999999,1,0,2,0,2,20,2,5,0,65,0.0
10408,60,0.624,1,0,2,0,5,9,4,1,1,68,1.0
14928,5,0.92,1,0,2,0,5,21,1,5,2,40,0.0
22293,5,0.92,1,0,1,0,5,10,6,5,4,141,0.0
26966,47,0.92,0,0,2,0,5,21,1,5,4,82,0.0
26494,46,0.91,1,0,2,0,1,3,6,5,2,145,0.0
4866,5,0.92,1,0,2,0,5,1,0,0,1,206,0.0
10164,12,0.926,1,0,2,2,5,21,1,5,3,42,1.0
2547,12,0.926,0,0,0,1,5,7,2,4,1,14,0.0
5590,60,0.624,1,0,1,1,5,19,6,5,2,7,1.0
9006,60,0.624,1,0,2,0,5,15,1,5,5,87,1.0
25987,5,0.92,2,0,2,0,5,10,3,4,3,52,1.0
25103,105,0.923,1,0,2,0,5,2,0,5,0,21,0.0
2195,88,0.6659999999999999,1,0,2,0,5,1,1,5,1,102,0.0
30533,7,0.794,1,1,2,0,2,15,3,5,4,26,0.0
12253,6,0.924,1,0,2,0,5,21,1,5,0,45,0.0
25296,96,0.754,1,0,0,0,5,11,4,0,1,52,0.0
18578,48,0.767,1,0,2,0,2,21,1,5,4,26,1.0
26516,98,0.939,1,0,2,0,5,16,1,5,2,25,0.0
8433,2,0.887,1,0,2,1,2,21,1,5,4,48,0.0
5878,111,0.865,1,0,2,0,5,1,4,5,1,142,1.0
25695,90,0.855,2,1,2,1,2,14,3,5,3,13,0.0
12730,46,0.91,0,0,2,1,2,5,5,4,0,28,0.0
12731,25,0.8270000000000001,1,0,2,0,5,11,0,5,0,29,0.0
22683,69,0.893,1,0,2,1,5,15,4,5,1,65,0.0
22134,5,0.92,1,1,2,0,2,13,1,5,0,35,0.0
31765,90,0.855,1,1,0,0,5,19,3,5,2,14,0.0
31449,5,0.92,0,0,2,1,5,11,7,0,0,4,0.0
5987,5,0.92,1,0,2,0,5,6,4,5,4,12,0.0
21762,47,0.92,1,0,2,0,5,21,4,5,1,108,0.0
28403,94,0.884,1,0,2,0,5,6,0,0,0,86,0.0
30937,84,0.866,0,1,1,0,5,20,0,5,1,83,0.0
16869,5,0.92,0,1,2,0,2,13,1,5,0,13,1.0
12081,89,0.802,1,0,0,0,5,19,4,5,0,33,0.0
7016,89,0.802,1,0,2,0,5,16,4,5,1,14,1.0
8695,11,0.55,1,0,2,0,5,16,0,5,1,27,1.0
6172,11,0.55,1,0,2,0,5,18,1,5,0,24,1.0
18257,5,0.92,0,0,2,0,5,2,5,2,4,20,0.0
1180,46,0.91,1,0,2,0,5,3,6,5,0,52,0.0
28627,98,0.939,1,0,2,0,5,21,4,5,1,160,0.0
8168,29,0.897,1,0,2,1,5,19,6,5,1,3,0.0
10473,60,0.624,1,0,2,0,5,11,7,5,1,2,1.0
25349,46,0.91,1,0,2,0,5,21,2,5,4,28,0.0
4789,90,0.855,1,0,2,0,5,18,4,5,0,210,0.0
11338,12,0.926,1,0,2,0,5,1,7,5,0,36,0.0
8571,60,0.624,1,0,0,0,5,11,0,2,1,101,0.0
20576,113,0.925,1,0,2,0,5,21,2,5,4,19,0.0
32966,60,0.624,1,0,2,0,5,13,1,5,1,26,1.0
18819,80,0.8959999999999999,1,0,2,0,5,19,7,5,3,59,0.0
14199,47,0.92,1,0,1,0,1,1,4,1,0,260,0.0
7666,60,0.624,0,0,2,0,5,2,4,5,4,74,0.0
13915,46,0.91,1,0,2,2,5,21,1,5,1,20,1.0
10555,52,0.878,1,0,2,0,5,3,1,5,1,8,0.0
16040,5,0.92,1,0,2,0,5,16,1,5,0,131,0.0
13253,104,0.693,1,0,0,0,5,2,0,5,1,109,0.0
15637,90,0.855,1,0,2,0,2,13,1,5,0,70,0.0
28074,5,0.92,0,0,2,0,5,21,1,2,4,17,0.0
23012,5,0.92,0,1,2,1,5,6,4,5,0,51,0.0
16110,5,0.92,0,0,2,0,5,16,4,5,2,60,1.0
24530,12,0.926,1,1,2,0,5,3,1,5,4,7,0.0
24829,5,0.92,1,1,2,1,2,13,3,5,0,133,1.0
1265,5,0.92,1,0,2,0,5,1,7,1,0,76,0.0
13342,60,0.624,0,0,2,0,4,18,6,5,1,34,0.0
24608,47,0.92,1,1,2,0,5,19,7,5,1,15,0.0
24796,5,0.92,1,0,2,0,5,21,6,5,4,15,0.0
3396,90,0.855,1,0,1,0,5,16,5,5,5,102,0.0
31786,5,0.92,1,1,2,2,5,21,4,5,4,14,0.0
23455,60,0.624,1,0,2,0,5,16,3,5,3,49,1.0
28817,107,0.925,1,0,0,0,5,5,6,5,2,141,1.0
7280,5,0.92,1,0,2,0,5,4,3,5,0,6,0.0
16903,5,0.92,1,0,2,0,3,8,6,5,0,125,0.0
26241,5,0.92,1,0,2,0,4,21,1,5,1,33,0.0
32092,5,0.92,0,0,2,1,5,6,3,5,4,55,0.0
3766,40,0.698,1,1,2,0,5,21,5,5,4,32,0.0
30496,5,0.92,1,0,2,0,0,21,1,5,4,11,0.0
7189,96,0.754,1,0,2,0,5,21,7,5,0,41,0.0
29497,5,0.92,1,0,2,1,5,21,3,4,4,87,1.0
31593,90,0.855,1,0,2,1,5,1,1,5,3,114,0.0
11986,109,0.698,1,0,1,1,5,15,7,0,0,15,0.0
3728,5,0.92,1,0,2,1,5,21,6,5,3,13,0.0
3024,114,0.949,1,0,2,0,5,21,7,4,0,246,0.0
23508,5,0.92,1,0,2,1,5,19,0,5,0,22,0.0
29457,5,0.92,1,0,2,1,5,21,7,1,0,81,0.0
3065,5,0.92,1,0,2,0,5,21,1,1,0,50,0.0
5493,66,0.939,1,0,2,1,5,21,0,5,4,31,0.0
2891,12,0.926,1,0,2,1,5,21,4,5,5,84,0.0
32509,29,0.897,1,0,1,0,5,14,3,5,0,42,0.0
907,5,0.92,0,0,2,0,5,21,4,5,4,72,0.0
29526,13,0.789,1,0,2,0,5,5,0,5,4,42,1.0
10956,112,0.698,1,0,2,0,5,6,4,0,0,152,0.0
26099,5,0.92,1,0,2,0,5,3,3,5,0,60,0.0
706,46,0.91,1,0,2,1,5,14,1,1,5,38,0.0
9890,5,0.92,1,0,2,0,2,5,7,0,1,178,0.0
32683,47,0.92,1,0,2,0,5,6,4,5,0,11,0.0
31943,94,0.884,1,0,2,0,5,21,1,0,1,32,0.0
33339,60,0.624,1,1,2,0,5,11,5,4,0,39,0.0
29529,49,0.903,1,0,2,0,5,13,1,5,0,55,1.0
32095,5,0.92,1,0,2,1,2,11,4,0,0,104,0.0
30098,5,0.92,1,0,2,1,4,21,1,5,4,8,0.0
24936,60,0.624,1,0,2,1,5,13,4,1,0,88,0.0
31602,5,0.92,1,0,2,1,5,21,3,5,0,7,0.0
16814,46,0.91,1,0,2,0,5,21,3,5,4,62,0.0
19249,5,0.92,1,0,2,0,5,16,4,5,0,83,0.0
9475,66,0.939,1,0,2,0,5,19,2,5,4,11,0.0
20881,66,0.939,1,0,2,1,5,1,2,5,0,114,0.0
8528,47,0.92,1,0,1,0,5,21,4,4,4,108,0.0
6141,5,0.92,1,0,2,0,5,11,1,5,1,45,0.0
2821,12,0.926,1,0,2,1,5,6,1,5,1,8,0.0
25495,34,0.727,0,0,2,0,5,19,1,1,4,37,0.0
28015,5,0.92,1,0,2,0,5,4,5,5,1,162,0.0
405,49,0.903,1,0,2,1,5,10,1,5,3,4,0.0
13891,94,0.884,0,1,2,2,5,13,2,4,0,41,0.0
399,5,0.92,1,0,2,0,5,21,4,5,0,190,0.0
8751,5,0.92,1,0,2,0,5,16,1,4,0,11,0.0
12509,12,0.926,1,1,2,0,5,21,4,5,4,5,0.0
13083,12,0.926,1,0,2,1,5,1,4,5,4,29,0.0
15922,47,0.92,1,0,2,0,5,19,4,5,2,44,0.0
28838,5,0.92,1,0,2,0,5,21,2,2,4,74,0.0
24082,60,0.624,1,0,2,1,5,16,0,5,0,8,1.0
1020,5,0.92,1,0,2,0,5,13,5,5,0,162,0.0
14578,88,0.6659999999999999,1,0,1,0,5,19,0,5,0,19,1.0
20732,88,0.6659999999999999,2,1,2,0,5,21,4,5,4,23,1.0
17358,12,0.926,1,0,2,1,5,2,0,0,0,40,0.0
21933,94,0.884,1,0,2,0,5,3,4,5,0,11,0.0
24152,105,0.923,1,1,2,1,5,13,3,5,5,30,0.0
20976,47,0.92,1,0,1,0,5,15,2,4,1,40,0.0
13150,46,0.91,1,0,2,2,5,21,1,5,1,27,0.0
13152,5,0.92,1,0,2,0,5,4,4,1,0,96,0.0
22689,114,0.949,1,0,2,0,5,14,4,1,3,42,0.0
13994,17,0.64,1,0,2,0,5,21,4,5,5,40,1.0
27064,5,0.92,1,0,2,0,5,15,1,1,1,94,0.0
9571,52,0.878,1,1,1,0,5,1,0,0,0,25,0.0
30854,75,0.516,1,0,2,0,5,19,7,0,0,11,0.0
17519,34,0.727,1,0,2,0,5,1,0,5,1,113,0.0
31692,47,0.92,1,0,0,0,5,21,3,5,0,40,0.0
6052,5,0.92,1,0,2,1,5,21,7,5,4,56,0.0
12934,12,0.926,1,0,1,0,5,10,5,5,1,64,0.0
30400,96,0.754,1,0,2,0,5,15,3,5,0,51,0.0
26419,90,0.855,0,0,0,0,5,16,2,5,1,41,0.0
12117,97,0.579,1,0,2,0,5,14,0,5,0,320,0.0
32534,4,0.804,1,0,0,0,5,19,6,5,0,74,0.0
2793,105,0.923,1,0,2,0,5,21,0,5,4,166,0.0
25174,86,0.913,1,0,2,0,5,11,4,5,0,110,0.0
30484,12,0.926,1,0,2,1,5,21,4,5,4,31,0.0
14688,14,0.743,1,1,0,1,5,2,4,5,4,97,0.0
20322,4,0.804,1,0,2,2,5,21,1,5,4,206,0.0
22194,5,0.92,0,0,2,0,5,11,0,1,0,204,0.0
31401,5,0.92,1,0,2,1,5,9,3,5,1,116,0.0
10102,5,0.92,1,0,2,0,5,12,3,5,5,107,0.0
15701,46,0.91,1,0,2,0,5,1,7,5,0,140,0.0
21218,98,0.939,1,0,2,0,2,13,3,5,1,75,0.0
10752,90,0.855,0,0,2,1,5,19,1,5,1,42,1.0
17460,46,0.91,0,0,2,0,5,17,3,5,0,22,0.0
9384,86,0.913,1,0,2,1,5,21,5,5,4,143,0.0
4269,90,0.855,0,0,2,0,5,5,4,5,1,72,0.0
28033,29,0.897,1,1,0,0,5,13,4,0,0,182,0.0
1568,115,0.915,1,0,2,0,5,6,4,5,3,50,0.0
32652,89,0.802,1,0,0,1,5,15,1,5,3,124,0.0
21078,47,0.92,0,0,2,0,5,19,4,5,0,17,0.0
2855,46,0.91,1,1,2,1,5,15,3,5,5,31,0.0
27866,5,0.92,1,0,2,0,5,21,4,1,0,31,0.0
24807,5,0.92,1,0,2,0,5,16,4,5,0,55,0.0
2990,52,0.878,1,0,2,1,5,21,2,5,2,32,1.0
28229,72,0.7759999999999999,1,0,1,0,5,9,1,1,4,51,0.0
4162,4,0.804,1,0,0,0,5,19,6,5,1,22,0.0
2194,61,0.899,1,0,2,0,5,15,0,1,0,19,0.0
21564,60,0.624,1,0,0,1,5,19,4,5,1,46,1.0
17432,46,0.91,0,0,2,0,5,4,4,5,4,15,0.0
1988,69,0.893,1,0,2,0,5,21,1,5,4,38,0.0
8540,5,0.92,1,0,2,0,5,21,2,4,4,52,0.0
15468,12,0.926,1,0,2,1,5,6,1,5,1,65,0.0
1297,5,0.92,1,0,2,0,5,17,6,5,3,86,0.0
22517,12,0.926,1,1,2,0,5,13,2,4,0,86,0.0
30676,46,0.91,1,0,2,1,5,21,1,5,4,53,0.0
29961,98,0.939,1,0,2,2,5,21,4,5,1,166,0.0
23505,5,0.92,1,0,2,0,5,8,1,5,4,106,0.0
11751,30,0.836,1,1,2,0,5,16,7,5,5,58,0.0
10370,98,0.939,1,0,2,1,5,7,6,2,1,166,0.0
5340,5,0.92,1,0,2,0,1,21,3,5,5,109,0.0
9217,94,0.884,1,0,2,0,5,0,7,0,0,37,0.0
5673,77,0.89,1,1,2,0,5,19,4,5,2,51,0.0
25421,5,0.92,1,0,2,0,5,7,4,1,0,84,0.0
20698,12,0.926,1,0,2,0,5,21,5,2,0,72,0.0
9515,5,0.92,1,1,2,0,4,11,2,4,0,64,0.0
20743,80,0.8959999999999999,1,0,2,1,5,6,3,5,4,23,1.0
25766,94,0.884,1,1,0,1,5,5,1,4,2,96,0.0
4642,96,0.754,1,0,2,0,5,19,7,2,0,8,0.0
16178,78,0.762,1,0,2,0,5,21,1,5,0,48,0.0
1829,60,0.624,1,0,2,0,5,18,0,5,0,98,1.0
10529,5,0.92,1,0,2,0,0,21,7,5,0,102,0.0
32324,5,0.92,1,1,2,0,5,21,4,5,4,32,0.0
17083,47,0.92,0,0,0,0,5,14,6,5,0,7,0.0
16414,46,0.91,1,0,2,0,5,7,0,5,0,53,0.0
32340,90,0.855,1,0,2,0,5,1,0,1,0,161,0.0
18462,29,0.897,1,1,2,1,5,18,0,5,0,11,0.0
29982,7,0.794,0,0,2,1,2,16,4,5,0,182,0.0
29217,98,0.939,1,0,2,0,5,21,6,5,4,67,0.0
22508,94,0.884,0,1,1,0,5,15,1,5,0,16,0.0
25969,46,0.91,1,0,2,0,5,21,3,5,4,38,0.0
28080,5,0.92,2,0,2,0,0,15,0,0,0,98,0.0
29000,94,0.884,1,0,2,1,5,14,1,5,1,112,0.0
21989,46,0.91,1,0,2,0,5,10,1,5,3,24,0.0
10984,5,0.92,1,0,2,1,2,11,3,2,0,28,0.0
26543,52,0.878,1,0,1,0,5,1,4,4,0,166,0.0
32043,60,0.624,1,0,0,1,5,1,4,5,1,61,1.0
